Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
2/5/2016,27.925,24.913,29.9929,18.5659,1153959
2/4/2016,23.953,24.8426,30.3747,18.5453,
2/3/2016,23.877,24.6993,29.581,18.4253,669271
2/2/2016,23.625,24.499,30.2363,18.3838,521160
2/1/2016,21.345,24.3363,30.1954,18.3733,395997
1/29/2016,22.552,24.1745,29.5318,18.2954,613153
1/28/2016,25.092,23.8743,29.1593,18.3311,379850
1/27/2016,25.852,23.3947,28.3947,18.3326,755918
1/26/2016,24.368,22.9331,28.2481,18.32,439687
1/25/2016,25.062,22.5397,27.9802,18.2829,453587
1/22/2016,23.631,22.101,26.9499,18.178,852083
1/21/2016,27.442,21.7869,26.5763,18.127,647995
1/20/2016,27.753,21.3734,25.2266,17.8678,1024031
1/19/2016,26.18,21.0131,24.6322,17.7716,579363
1/15/2016,27.476,20.6299,23.1767,17.5904,996037
1/14/2016,24.167,20.1243,22.3787,17.5006,915836
1/13/2016,25.121,19.8911,21.4271,17.3878,854983
1/12/2016,21.895,19.6555,21.1775,17.3906,653378
1/11/2016,23.47,19.7206,20.862,17.3299,752050
1/8/2016,27.473,19.4725,20.5383,17.305,792959
1/7/2016,26.519,19.0438,18.8848,17.122,1061653
1/6/2016,21.086,18.5534,19.06,17.0733,487156
1/5/2016,19.871,18.2857,19.9811,17.0912,452952
1/4/2016,20.371,18.0426,18.3823,16.9183,546758
12/31/2015,18.109,17.9323,18.3047,16.9465,429334
12/30/2015,16.548,17.8129,18.2068,16.9359,274824
12/29/2015,15.5,17.712,17.8626,16.9061,351294
12/28/2015,16.621,17.712,17.6806,16.8972,244411
12/24/2015,16.499,17.6274,18.0103,16.8974,168642
12/23/2015,16.289,17.5495,18.0204,16.9013,345406
12/22/2015,17.348,17.4944,17.9857,16.8977,283007
12/21/2015,19.172,17.3809,17.7536,16.8795,366365
12/18/2015,20.547,17.1933,17.8414,16.8758,852652
12/17/2015,18.516,16.9936,16.8412,16.85,646762
12/16/2015,17.364,16.8788,17.2657,16.8592,441394
12/15/2015,19.503,16.9042,17.8216,16.9163,614744
12/14/2015,20.409,16.7953,17.5781,16.9059,729131
12/11/2015,23.197,16.7699,16.837,16.856,1014035
12/10/2015,18.507,16.4578,16.8171,16.9041,443342
12/9/2015,18.9,16.3026,16.5223,16.9369,688856
12/8/2015,16.711,16.1121,16.1877,16.9068,513371
12/7/2015,15.733,16.0429,16.2074,16.9024,348238
12/4/2015,15.008,15.9686,14.8038,16.7699,719962
